datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,conditions,stations
2021-03-17,-14.1,-14.8,-14.5,-14.7,98.4,23,snow,100.8,72,333.3,,,Snow,15615099999
2021-03-18,-13.1,-15.6,-14.4,-15.2,94.2,13,snow,,50.4,330.7,,60,"Snow, Partially cloudy",15615099999
2021-03-19,-7.8,-14.6,-12.2,-13.1,92.7,0.4,snow,,43.2,247.8,,,Snow,15615099999
2021-03-20,-5.9,-13.1,-10.3,-11.1,93.9,1,snow,,50.4,208.1,,,Snow,15615099999
2021-03-21,-5.6,-9.3,-7.2,-8.2,93,1.4,snow,100.8,72,202.7,,,Snow,15615099999
2021-03-22,-5.6,-15.8,-7.8,-7.9,99.5,1.8,snow,122.4,72,186.6,,,Snow,15615099999
2021-03-23,-14.3,-17.3,-15.7,-16.1,96.5,2.6,snow,,43.2,24.1,,,Snow,15615099999
2021-03-24,-16.3,-21.1,-18.6,-19,97.3,23.1,snow,,43.2,353.9,,,Snow,15615099999
2021-03-25,-13.3,-19.9,-17.1,-19.1,87.1,0,,,36,7.4,,,Clear,15615099999
2021-03-26,-8.1,-15.8,-12.6,-16.6,76.2,0,,,36,18.2,,30,Partially cloudy,15615099999
2021-03-27,-3.8,-7.4,-6.3,-16.3,47.8,0,,,28.8,359.2,,22,Partially cloudy,15615099999
2021-03-28,-5.6,-8.6,-7.2,-9.1,86.5,1,snow,,28.8,351.2,,43.3,"Snow, Partially cloudy",15615099999
2021-03-29,-8.1,-9.3,-8.4,-9.9,89.1,0.6,snow,,28.8,328.2,,40,"Snow, Partially cloudy",15615099999
2021-03-30,-7.9,-10.8,-9.9,-11.4,87.7,1,snow,,36,5.4,,55,"Snow, Partially cloudy",15615099999
2021-03-31,-7.6,-12.3,-10.9,-12.9,86.1,0,,86.4,64.8,20,,40,Partially cloudy,15615099999
2021-04-01,-5.8,-10.8,-7.8,-9.9,85.1,0,,72,50.4,12.3,,36,Partially cloudy,15615099999
2021-04-02,-2.8,-7.4,-4.7,-5.8,92.2,0.3,snow,,36,310.6,,53.3,"Snow, Partially cloudy",15615099999
2021-04-03,-2.4,-4.1,-3.5,-4.3,94.1,8,snow,,50.4,247,,,Snow,15615099999
2021-04-04,-3.8,-5.8,-4.7,-5.8,92.1,4,snow,64.8,64.8,229.6,,,Snow,15615099999
2021-04-05,-7.8,-13.9,-10.3,-12.4,84.5,0.6,snow,,36,248.7,,15,Snow,15615099999
2021-04-06,-4.4,-8.6,-6.6,-10.9,72.4,0,,,50.4,231.8,,40,Partially cloudy,15615099999
2021-04-07,-5.8,-8.8,-7,-8.2,90.6,1,snow,144,122.4,245,,,Snow,15615099999
2021-04-08,-9.9,-17.9,-14.8,-17.1,82.6,9.6,snow,,50.4,311.1,,,Snow,15615099999
2021-04-09,-8.8,-17.1,-14.3,-16.5,83.6,1.8,snow,,36,345.9,,50,"Snow, Partially cloudy",15615099999
2021-04-10,-6.1,-16.8,-10.1,-14.5,70.9,0,,,36,351.7,,30,Partially cloudy,15615099999
2021-04-11,-2.4,-9.8,-6.6,-9.6,80.4,0,,,28.8,334.8,,25,Partially cloudy,15615099999
2021-04-12,-0.8,-4.6,-2.8,-4.8,86.5,0,,,36,336,,40,Partially cloudy,15615099999
2021-04-13,-0.6,-5.1,-2.5,-2.7,98.6,3,"rain,snow",,36,248.6,,40,"Snow, Rain, Partially cloudy",15615099999
2021-04-14,-5.8,-8.4,-7.2,-7.2,100,14,snow,,50.4,269.5,,,Snow,15615099999
2021-04-15,-7.8,-12.6,-10.3,-10.6,97.7,0.1,snow,,50.4,234,,26,"Snow, Partially cloudy",15615099999
2021-04-16,-8.6,-12.9,-10.6,-11.7,92.6,0,,,50.4,243.5,,60,Partially cloudy,15615099999
2021-04-17,-0.8,-7.3,-3.5,-3.6,98.9,0.4,snow,,50.4,195.7,,,Snow,15615099999
2021-04-18,-1.1,-6.1,-2.6,-3.3,94.8,0.6,snow,,64.8,194.1,,,Snow,15615099999
2021-04-19,-3.8,-6.8,-5.7,-6.7,92.5,6,snow,,36,225.6,,,Snow,15615099999
2021-04-20,-5.8,-9.8,-7.8,-9.1,90.4,4,snow,,36,305.2,,,Snow,15615099999
2021-04-21,-3.4,-9.1,-7.1,-8.5,89.5,0.6,snow,,21.6,275.1,,80,"Snow, Partially cloudy",15615099999
2021-04-22,-3.6,-8.1,-6.1,-7.3,91.2,0.6,snow,,21.6,243.9,,70,"Snow, Partially cloudy",15615099999
2021-04-23,-0.9,-5.1,-3.8,-5,90.9,4.5,"rain,snow",,28.8,256.7,,,"Snow, Rain",15615099999
2021-04-24,-0.6,-5.4,-3.8,-5,91.3,0,,,21.6,256,,66.7,Partially cloudy,15615099999
2021-04-25,-2.1,-6.6,-4.5,-7.9,79.7,0,,,36,307.7,,22,Partially cloudy,15615099999
2021-04-26,-1.1,-7.3,-4.6,-7.4,81.2,0,,,36,325.1,,38.6,Partially cloudy,15615099999
2021-04-27,0.2,-3.4,-1.9,-4.7,82.3,0.6,snow,86.4,64.8,254.2,,78,"Snow, Partially cloudy",15615099999
2021-04-28,2.7,-1.3,0.2,-1.5,88.6,0.3,"rain,snow",90,64.8,245.5,,38.3,"Snow, Rain, Partially cloudy",15615099999
2021-04-29,2.4,-1.4,0.4,-3.3,76.6,0,,86.4,64.8,263.1,,36.3,Partially cloudy,15615099999
2021-04-30,4.7,0.4,2.4,-1.7,74.9,0,,122.4,72,265,,88.8,Partially cloudy,15615099999
2021-05-01,7.1,4.2,5.2,-2.1,60.4,0,,,57.6,251.7,,77.5,Partially cloudy,15615099999
2021-05-02,6.4,4.1,5.1,0.5,72.8,0,,316.8,100.8,240.6,,90,Partially cloudy,15615099999
2021-05-03,2.9,-0.8,1.4,-3.1,73.2,0,,,50.4,255,,86.3,Partially cloudy,15615099999
2021-05-04,1.4,-2.1,-0.6,-1.8,91.9,0,,,28.8,231.3,,75,Partially cloudy,15615099999
2021-05-05,0.2,-2.1,-1,-1.6,95.5,0.7,"rain,snow",,43.2,240.4,,60,"Snow, Rain, Partially cloudy",15615099999
2021-05-06,2.1,-3.6,-1.1,-2.6,90.1,0.2,snow,,28.8,268.9,,33.3,"Snow, Partially cloudy",15615099999
2021-05-07,2.6,-0.1,1.3,-5.5,61.9,0,,,50.4,239.8,,65,Partially cloudy,15615099999
2021-05-08,0.2,-3.8,-0.9,-2.7,87.7,0,,,36,272.2,,70,Partially cloudy,15615099999
2021-05-09,2.7,-4.9,-0.9,-11.9,45.6,0,,,28.8,310.3,,30,Partially cloudy,15615099999
2021-05-10,6.1,-7.1,2.6,-4.6,60.7,0,,,21.6,319.2,,30,Partially cloudy,15615099999
2021-05-11,7.1,2.9,4.7,-2.7,60.1,0,,,21.6,308,,23.3,Partially cloudy,15615099999
2021-05-12,5.6,0.7,3.1,1.2,87.6,0,,,36,275.6,,50,Partially cloudy,15615099999
2021-05-13,1.1,-3.1,-1.1,-2.1,93.4,0.3,snow,,43.2,247.3,,50,"Snow, Partially cloudy",15615099999
2021-05-14,-0.9,-4.4,-3,-3.9,93.9,0.2,snow,,50.4,252.4,,50,"Snow, Partially cloudy",15615099999
2021-05-15,-1.4,-3.3,-2.4,-2.9,96.6,5,snow,,50.4,197.8,,40,"Snow, Partially cloudy",15615099999
2021-05-16,-0.9,-2.6,-1.6,-1.6,99.5,16.4,"rain,snow",,36,342.3,,,"Snow, Rain",15615099999
2021-05-17,1.2,-2.1,-0.6,-0.6,99.7,0.7,"rain,snow",72,50.4,272.4,,50,"Snow, Rain, Partially cloudy",15615099999
2021-05-18,0.6,-3.9,-2.5,-2.7,98.5,0.2,"rain,snow",72,50.4,282.7,,50,"Snow, Rain, Partially cloudy",15615099999
2021-05-19,2.9,-3.6,-0.5,-4.5,76.4,0,,,50.4,249.3,,42.9,Partially cloudy,15615099999
2021-05-20,0.2,-4.3,-2.5,-3.2,94.7,3,snow,,50.4,256.5,,100,"Snow, Overcast",15615099999
2021-05-21,-2.8,-5.9,-4.3,-5.2,93.3,14.4,snow,,36,325.5,,,Snow,15615099999
2021-05-22,3.9,-5.9,-0.3,-6.6,65.3,0,,,28.8,293.1,,52.5,Partially cloudy,15615099999
2021-05-23,8.2,1.2,4.9,-0.7,67.2,0,,,36,288.7,,52.5,Partially cloudy,15615099999
2021-05-24,10.2,2.4,6.5,2.3,74.7,0,,,50.4,273.9,,65,Partially cloudy,15615099999
2021-05-25,9.9,7.1,8.2,3.3,71.3,0,,,43.2,210.5,,68.3,Partially cloudy,15615099999
2021-05-26,7.6,4.4,5.8,2.9,81.6,13,rain,,36,160.7,,50,"Rain, Partially cloudy",15615099999
2021-05-27,6.2,2.1,4,1,81.6,8,rain,,28.8,165.6,,88,"Rain, Partially cloudy",15615099999
2021-05-28,1.7,-2.3,-0.2,-1.3,94.6,3.3,"rain,snow",,43.2,311.4,,90,"Snow, Rain, Partially cloudy",15615099999
2021-05-29,3.2,-2.8,-0.5,-2.1,91,0,,,36,310.8,,,Clear,15615099999
2021-05-30,1.1,-1.1,-0.2,-0.6,97.3,0.4,"rain,snow",,43.2,254.4,,80,"Snow, Rain, Partially cloudy",15615099999
2021-05-31,-0.8,-4.4,-2.2,-2.2,100,13,"rain,snow",,21.6,287.7,,,"Snow, Rain",15615099999
2021-06-01,-4.1,-6.1,-5.1,-5.1,100,18,snow,,28.8,328.9,,,Snow,15615099999
2021-06-02,-2.4,-4.9,-3.6,-3.8,98.8,3,snow,,43.2,336.6,,,Snow,15615099999
2021-06-03,-0.1,-4.8,-3,-3.6,95.4,0,,,43.2,324,,70,Partially cloudy,15615099999
2021-06-04,0.9,-4.1,-1.6,-2.7,92.3,0,,,21.6,292,,,Clear,15615099999
2021-06-05,2.7,-1.8,0.2,-1.9,86.3,0,,,36,357.6,,57.5,Partially cloudy,15615099999
2021-06-06,2.9,-4.8,1.1,1.4,96.6,2.2,"rain,snow",,43.2,321.7,,65,"Snow, Rain, Partially cloudy",15615099999
2021-06-07,3.7,0.9,2.1,1.7,97.1,5.7,"rain,snow",,28.8,337.5,,100,"Snow, Rain, Overcast",15615099999
2021-06-08,2.7,0.4,1.2,0.4,94.5,10.5,"rain,snow",,21.6,48.3,,90,"Snow, Rain, Partially cloudy",15615099999
2021-06-09,2.7,0.1,1.3,0,91.3,0.1,rain,,21.6,50,,67.1,"Rain, Partially cloudy",15615099999
2021-06-10,2.9,0.1,1.4,0.1,91.5,6.4,"rain,snow",,21.6,50,,50,"Snow, Rain, Partially cloudy",15615099999
2021-06-11,1.7,-0.8,0.6,-0.1,95,2.4,"rain,snow",,21.6,14.4,,45,"Snow, Rain, Partially cloudy",15615099999
2021-06-12,0.9,-0.4,0.1,-0.1,98.5,2.8,"rain,snow",,21.6,358.8,,100,"Snow, Rain, Overcast",15615099999
2021-06-13,1.7,-0.6,0.3,0.3,100,11.2,"rain,snow",,36,354.3,,,"Snow, Rain",15615099999
2021-06-14,-2.1,-4.1,-3.2,-3.6,96.9,15,snow,,36,17.5,,,Snow,15615099999
2021-06-15,-0.6,-4.3,-2.7,-3,97.5,6.3,"rain,snow",,21.6,28.1,,,"Snow, Rain",15615099999
2021-06-16,2.7,-2.3,0.9,0.7,98.5,0.4,"rain,snow",,36,39.7,,,"Snow, Rain",15615099999
2021-06-17,4.2,1.9,3,2.9,99,3,"rain,snow",,28.8,23.4,,,"Snow, Rain, Fog",15615099999
2021-06-18,3.9,1.7,2.8,2.2,96,6,rain,,28.8,13,,40,"Rain, Partially cloudy",15615099999
2021-06-19,4.2,3.2,3.5,3.3,98.3,6.2,rain,,36,6.3,,,Rain,15615099999
2021-06-20,4.7,2.2,3.2,2.9,97.9,0.3,rain,,36,356.1,,,Rain,15615099999
2021-06-21,8.7,2.2,4.7,3.3,91,0,,,36,328,,65.7,Partially cloudy,15615099999
2021-06-22,9.2,6.7,7.8,7.3,96.5,1,rain,,36,331.5,,50,"Rain, Partially cloudy",15615099999
2021-06-23,9.9,7.6,8.6,6.9,89.4,0,,,36,342.5,,54,Partially cloudy,15615099999
2021-06-24,12.7,7.1,10.2,4.8,71.6,0,,,36,14.2,,20,Clear,15615099999
2021-06-25,14.2,9.9,11.6,5.8,68.7,0,,,36,336.7,,32.5,Partially cloudy,15615099999
2021-06-26,12.1,5.4,9.5,4.8,73.1,5,rain,,50.4,299.8,,43.3,"Rain, Partially cloudy",15615099999
2021-06-27,9.6,5.9,7.6,6,90.1,10,rain,,28.8,306.2,,32.5,"Rain, Partially cloudy",15615099999
2021-06-28,10.9,4.9,7.4,0.1,61.9,0,,,36,312.2,,23.3,Partially cloudy,15615099999
2021-06-29,13.7,6.4,9.5,4.9,74.8,0,,,36,312.9,,32,Partially cloudy,15615099999
2021-06-30,15.7,8.7,11.9,4.9,63.6,0,,,36,287.6,,30,Partially cloudy,15615099999
2021-07-01,14.1,8.4,11.3,3.7,61,6,rain,,50.4,258.3,,50,"Rain, Partially cloudy",15615099999
2021-07-02,7.4,3.2,5.3,3.8,90.9,2,rain,,28.8,337.6,,42.5,"Rain, Partially cloudy",15615099999
2021-07-03,2.2,0.4,1.2,0.9,97.9,0.4,"rain,snow",,36,338.8,,,"Snow, Rain",15615099999
2021-07-04,5.1,1.2,2.5,1.8,95.5,0,,,36,331.4,,80,Partially cloudy,15615099999
2021-07-05,5.4,2.2,4,3.3,95.1,0,,,36,315.8,,55,Partially cloudy,15615099999
2021-07-06,7.1,3.4,5.4,4.7,95,0,,,28.8,7.2,,80,Partially cloudy,15615099999
2021-07-07,9.6,5.1,7.6,4.7,83.3,0,,,21.6,25.2,,56.7,Partially cloudy,15615099999
2021-07-08,8.7,6.7,7.7,6.2,90.7,0.2,rain,,21.6,46.4,,35,"Rain, Partially cloudy",15615099999
2021-07-09,11.9,6.2,8.5,4.7,78,0,,,36,45,,45,Partially cloudy,15615099999
2021-07-10,9.4,6.7,8,5.7,86.2,0,,,28.8,37,,42.5,Partially cloudy,15615099999
2021-07-11,11.9,4.2,7.6,4.4,81.8,0,,,21.6,238.1,,55,Partially cloudy,15615099999
2021-07-12,9.2,4.4,7.3,4.4,82.3,0,,,21.6,15,,44.3,Partially cloudy,15615099999
2021-07-13,11.7,6.2,9.2,5.7,78.6,0,,,21.6,339.2,,30,Partially cloudy,15615099999
2021-07-14,15.2,7.4,11.5,5.4,69.6,0,,,28.8,352.8,,16.7,Clear,15615099999
2021-07-15,16.2,9.9,12.3,7.3,73.9,15,rain,,28.8,354.6,,56.7,"Rain, Partially cloudy",15615099999
2021-07-16,12.7,8.7,11.2,6.5,74.4,0,,,21.6,136,,41.7,Partially cloudy,15615099999
2021-07-17,11.4,7.2,8.9,3.8,71.8,0,,,28.8,110.1,,32,Partially cloudy,15615099999
2021-07-18,9.9,5.9,7.8,6,88.6,7,rain,,36,75.7,,60,"Rain, Partially cloudy",15615099999
2021-07-19,8.7,5.7,7.2,6.2,93.7,3.4,rain,,43.2,101.8,,70,"Rain, Partially cloudy",15615099999
2021-07-20,10.6,5.4,7.5,6.4,93,0.6,rain,,21.6,257,,37.5,"Rain, Partially cloudy",15615099999
2021-07-21,6.9,2.4,4.5,2.5,88,0,,,36,322,,25,Partially cloudy,15615099999
2021-07-22,5.4,0.7,2.8,1.9,93.6,0,,,28.8,24.2,,80,Partially cloudy,15615099999
2021-07-23,4.4,1.9,3.5,2.5,93.5,0,,,21.6,337.8,,63.3,Partially cloudy,15615099999
2021-07-24,4.4,1.7,3.3,2,91.2,0,,,14.4,38.1,,30,Partially cloudy,15615099999
2021-07-25,10.7,3.1,6.3,-0.3,64.7,0,,,21.6,16.8,,22,Partially cloudy,15615099999
2021-07-26,13.7,7.4,10.4,2.5,58.4,0,,,36,15.2,,16.7,Clear,15615099999
2021-07-27,15.7,9.4,12.4,5.8,65,0,,,21.6,350,,18,Clear,15615099999
2021-07-28,16.4,10.4,12.9,3.4,53.3,0,,,21.6,353.9,,40,Partially cloudy,15615099999
2021-07-29,16.7,10.4,13.5,3,49.7,0,,,21.6,342.8,,32.9,Partially cloudy,15615099999
2021-07-30,17.2,11.2,13.5,3.3,50.7,0,,,21.6,266.3,,28,Partially cloudy,15615099999
2021-07-31,14.2,10.7,12.3,4.8,60.6,0.4,rain,,21.6,253.7,,70,"Rain, Partially cloudy",15615099999
2021-08-01,17.9,9.4,13.1,3.9,55,0,,,28.8,275.5,,26,Partially cloudy,15615099999
2021-08-02,16.4,11.4,13.6,1,43,0,,144,64.8,266.9,,40,Partially cloudy,15615099999
2021-08-03,13.4,8.4,11.1,-1.7,41.8,0,,86.4,64.8,283.8,,50,Partially cloudy,15615099999
2021-08-04,14.1,7.9,11,2.2,55.6,0,,,43.2,265.7,,35.7,Partially cloudy,15615099999
2021-08-05,16.1,11.1,13.3,1.1,44.5,0,,100.8,50.4,245.3,,31.4,Partially cloudy,15615099999
2021-08-06,10.9,3.9,7.3,4.4,83.1,0.3,rain,86.4,43.2,280.4,,58,"Rain, Partially cloudy",15615099999
2021-08-07,11.4,0.9,5.3,-0.2,69.8,0,,64.8,28.8,18.5,,23.3,Partially cloudy,15615099999
2021-08-08,14.7,6.9,10.3,-1.2,44.9,0,,,28.8,320.6,,10,Clear,15615099999
2021-08-09,14.6,9.1,11.8,3.4,57.5,0,,,21.6,337.5,,24,Partially cloudy,15615099999
2021-08-10,14.2,9.9,11.7,4.1,60.6,0,,,28.8,340,,35.7,Partially cloudy,15615099999
2021-08-11,13.6,7.7,10.4,4.2,67.3,0,,,28.8,358.1,,51.3,Partially cloudy,15615099999
2021-08-12,11.4,5.7,7.5,4.8,84,0,,,21.6,52.4,,64,Partially cloudy,15615099999
2021-08-13,10.1,5.9,7.7,3.6,77,0,,,14.4,7.3,,36.7,Partially cloudy,15615099999
2021-08-14,9.2,4.9,6.7,3.1,78.6,0,,,21.6,27.1,,53.3,Partially cloudy,15615099999
2021-08-15,10.7,5.4,7.5,1.5,67.4,0,,,21.6,46.2,,45,Partially cloudy,15615099999
2021-08-16,13.9,6.4,10.1,1.7,57.9,0,,,21.6,359.6,,23.3,Partially cloudy,15615099999
2021-08-17,12.9,8.4,10.5,4.1,64.7,0,,,28.8,0.3,,72.5,Partially cloudy,15615099999
2021-08-18,11.9,6.6,9,4.9,76.4,9,rain,,21.6,311.4,,70,"Rain, Partially cloudy",15615099999
2021-08-19,8.4,5.1,6.5,5.5,93.2,5,rain,,21.6,263.1,,52.5,"Rain, Partially cloudy",15615099999
2021-08-20,9.4,3.6,6.4,4.6,88.6,0,,,28.8,257.3,,57.1,Partially cloudy,15615099999
2021-08-21,7.4,4.1,5.7,4.7,93.2,0.3,rain,,21.6,7.2,,90,"Rain, Partially cloudy",15615099999
2021-08-22,6.9,2.7,4.8,3.1,89,0,,,21.6,32.2,,61.7,Partially cloudy,15615099999
